Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
4,broncos,bears,31,9,223,0,97,1,4,6,11,0,0,2.5,24.5,46.5
5,commanders,bears,20,12,388,2,29,5,2,6,12,0,1,4.5,24.5,44.5
6,vikings,bears,19,11,181,1,46,2,5,2,13,1,2,3.5,23.5,43.5
7,raiders,bears,12,9,204,3,39,1,2,2,9,2,2,1.5,19.5,37.5
8,chargers,bears,30,10,298,1,54,0,2,7,13,0,1,9.5,27.0,44.5
9,saints,bears,24,12,214,0,87,0,4,7,14,0,1,10.5,26.5,42.5
10,panthers,bears,13,9,185,0,43,3,6,3,15,3,3,-3.5,18.0,39.5
11,lions,bears,31,11,236,4,115,2,2,8,11,0,0,7.5,27.5,47.5
12,vikings,bears,10,11,185,4,73,2,3,2,9,0,2,3.5,23.5,43.5
14,lions,bears,13,11,161,3,140,4,4,6,15,1,5,3.5,24.0,44.5
15,browns,bears,20,16,379,3,29,4,9,4,16,1,1,2.5,20.0,37.5
16,cardinals,bears,16,12,230,0,93,2,6,7,16,0,1,-5.5,18.5,42.5
17,falcons,bears,17,13,180,4,134,2,3,4,13,0,1,-2.5,18.5,39.5
18,packers,bears,17,7,316,1,124,1,0,7,10,0,0,2.5,24.0,45.5
1,cardinals,commanders,16,11,132,2,96,3,5,4,14,0,1,-6.5,15.5,37.5
2,broncos,commanders,33,11,308,2,122,7,3,4,12,2,2,3.5,21.0,38.5
3,bills,commanders,37,10,218,1,168,0,1,9,15,0,1,5.5,24.5,43.5
5,bears,commanders,40,11,282,0,178,3,3,7,15,1,1,-4.5,20.0,44.5
6,falcons,commanders,16,11,307,3,106,3,3,5,15,1,3,2.5,22.0,41.5
7,ginats,commanders,14,14,279,2,106,4,8,5,16,0,0,-3.5,16.5,36.5
8,eagles,commanders,38,12,319,2,59,2,2,8,13,1,1,7.5,25.0,42.5
9,patriots,commanders,17,12,220,1,107,0,6,3,12,1,2,2.5,21.5,40.5
10,seahawks,commanders,29,12,369,0,120,1,4,4,14,1,1,5.5,24.5,43.5
11,ginats,commanders,31,12,246,0,91,9,7,5,14,0,1,-7.5,16.0,39.5
12,cowboys,commanders,45,9,331,0,100,0,3,6,10,0,0,13.5,31.0,48.5
13,dolphins,commanders,45,11,228,3,167,0,3,7,13,2,2,8.5,29.0,49.5
15,rams,commanders,28,12,258,2,196,3,3,9,16,0,0,6.5,27.5,48.5
16,jets,commanders,30,16,217,2,164,0,6,4,16,1,2,2.5,19.5,36.5
17,49ers,commanders,27,9,230,0,184,1,2,4,9,0,1,14.5,32.0,49.5
18,cowboys,commanders,38,9,309,1,131,0,0,6,10,1,1,13.5,30.0,46.5
1,lions,chiefs,21,11,253,1,118,1,5,5,15,1,3,-3.5,24.0,51.5
2,jaguars,chiefs,9,11,204,1,74,1,4,4,13,2,2,-2.5,23.5,49.5
3,bears,chiefs,10,10,99,2,116,3,5,4,12,1,2,-12.5,18.0,48.5
4,jets,chiefs,20,11,245,1,108,2,5,5,12,0,0,-8.5,16.5,41.5
5,vikings,chiefs,20,8,284,1,70,3,1,6,14,4,5,-3.5,24.0,51.5
6,broncos,chiefs,8,10,95,3,115,4,5,4,10,0,1,-9.5,19.5,48.5
7,chargers,chiefs,17,11,259,2,139,5,5,6,14,1,1,-5.5,21.0,47.5
8,broncos,chiefs,24,11,114,1,153,6,4,6,14,0,1,-7.5,19.0,45.5
9,dolphins,chiefs,14,11,159,1,77,3,7,3,12,0,1,-1.5,24.5,50.5
11,eagles,chiefs,21,12,150,1,114,5,7,3,11,0,0,-2.5,21.5,45.5
12,raiders,chiefs,17,10,248,0,123,1,3,7,14,0,2,-9.5,16.5,42.5
13,packers,chiefs,27,7,267,0,129,2,2,5,10,1,1,-5.5,19.0,43.5
14,bills,chiefs,20,11,233,1,118,3,4,6,15,1,1,1.5,25.5,49.5
15,patriots,chiefs,17,14,180,1,52,4,6,2,12,1,2,-10.5,14.5,39.5
16,raiders,chiefs,20,10,62,0,157,2,6,3,12,0,0,-11.5,14.5,40.5
17,bengals,chiefs,17,10,197,0,104,6,4,8,16,1,3,-7.5,19.0,45.5
18,chargers,chiefs,12,11,258,1,118,3,5,7,19,2,3,3.5,20.0,36.5
Wildcard,dolphins,chiefs,7,11,199,1,76,2,4,1,12,3,6,-4.5,19.5,43.5
Divisional,bills,chiefs,24,8,186,0,182,0,2,7,14,2,3,2.5,24.0,45.5
Conference,ravens,chiefs,10,11,272,3,81,4,5,3,11,2,2,4.5,24.0,43.5
Superbowl,49ers,chiefs,22,13,268,2,110,1,5,3,12,1,1,1.5,24.0,46.5
1,raiders,broncos,17,7,200,1,61,0,1,5,11,1,1,-2.5,20.0,42.5
2,commanders,broncos,35,11,299,0,122,4,3,3,10,1,1,-3.5,17.5,38.5
3,dolphins,broncos,70,14,376,0,350,0,1,5,9,1,3,5.5,26.5,47.5
4,bears,broncos,28,10,335,2,171,4,2,6,12,1,3,-2.5,22.0,46.5
5,jets,broncos,31,11,199,2,234,4,3,3,12,0,0,-2.5,20.0,42.5
6,chiefs,broncos,19,11,306,1,96,2,3,4,13,0,1,9.5,29.0,48.5
7,packers,broncos,17,9,194,1,137,0,3,6,14,2,2,-2.5,20.5,43.5
8,chiefs,broncos,9,11,240,5,62,3,2,3,10,1,3,7.5,26.5,45.5
10,bills,broncos,22,11,177,4,192,0,3,3,8,0,1,7.5,27.5,47.5
11,vikings,broncos,20,10,221,3,175,2,2,6,15,3,4,-2.5,20.0,42.5
12,browns,broncos,12,12,190,3,107,4,3,2,13,2,5,1.5,19.5,37.5
13,texans,broncos,22,13,292,0,89,5,7,4,16,1,1,3.5,25.5,47.5
14,chargers,broncos,7,13,275,2,76,6,5,0,12,1,6,3.5,24.5,45.5
15,lions,broncos,42,10,278,0,185,2,4,5,10,1,1,5.5,27.5,49.5
16,patriots,broncos,26,13,256,1,59,2,7,3,13,0,0,-7.5,15.0,37.5
17,chargers,broncos,9,10,220,1,86,1,4,2,11,1,2,-3.5,17.5,38.5
18,raiders,broncos,27,10,244,0,129,3,4,7,13,0,0,3.5,20.5,37.5
2,cowboys,jets,30,12,255,0,134,1,3,9,18,0,0,8.5,23.0,37.5
3,patriots,jets,15,13,201,0,157,0,8,8,19,0,0,2.5,18.5,34.5
4,chiefs,jets,23,11,203,2,204,1,2,7,12,0,0,8.5,25.0,41.5
5,broncos,jets,21,12,196,3,139,4,4,4,10,0,0,2.5,22.5,42.5
6,eagles,jets,14,10,280,4,80,2,2,7,14,1,2,5.5,23.5,41.5
9,chargers,jets,27,13,136,0,84,5,8,7,16,0,0,3.5,22.5,41.5
10,raiders,jets,16,11,153,2,148,3,5,5,15,2,2,-1.5,17.0,35.5
11,bills,jets,32,12,275,1,130,1,3,5,13,1,1,8.5,24.0,39.5
12,dolphins,jets,34,13,275,3,36,2,1,11,16,0,1,9.5,25.0,40.5
13,falcons,jets,13,14,121,0,90,3,9,4,14,0,0,2.5,18.5,34.5
14,texans,jets,6,13,95,0,81,5,8,1,12,0,3,3.5,18.5,33.5
15,dolphins,jets,30,12,223,1,158,3,4,6,15,2,2,7.5,22.0,36.5
16,commanders,jets,28,15,156,3,102,1,8,3,12,1,1,-2.5,17.0,36.5
17,browns,jets,37,12,309,3,127,1,3,5,10,0,1,6.5,20.0,33.5
18,patriots,jets,3,15,88,2,88,7,9,1,14,0,3,2.5,15.5,28.5
1,titans,saints,15,12,198,3,104,3,3,2,12,0,0,-2.5,19.0,40.5
2,panthers,saints,17,11,153,1,100,4,5,4,14,1,1,-3.5,18.0,39.5
