Score,Divisional,Temp,Wind_Binary,Weather_Ord,Total_Weather_Binary ,Weather_Binary,Wthr,Weather_O,Passing 1st,Rushing 1st,1st_Penalties,Total drives,YPP,Passing Yards,Interceptions,Fumbles,Turnovers,Rushing,Rushing Att,YPR,RZ ATT,RZ Conv,Penalties,Yrds lost to penalties,Defensive/Special Teams TDs,Possestion,Pass Att,Pass Completed,Pass TDs,Sacks,Yards lost sacks,Passer rating,Rush TDs,FGM,FGA,XPM,XPA,Punts,Punt yards,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Momentum 
22,0,65,0,0,0,0,0,0,16,2,0,10,8,319,1,0,1,35,16,2.2,1,1,3,20,0,1542,40,27,3,2,15,104.6,0,0,0,2,2,2,71,5,11,0,3,-1
25,0,46,0,0,0,0,0,0,8,7,2,13,7.8,319,1,0,1,105,20,5.3,2,0,6,65,1,1789,41,27,1,6,35,83.8,1,2,3,1,2,5,222,5,16,1,3,1
20,1,53,0,0,0,0,0,0,10,9,1,8,7.3,189,0,1,1,125,29,4.3,3,3,5,78,0,1740,26,16,1,3,14,94.2,2,0,1,2,3,3,144,5,10,1,1,2
24,0,3,0,0,0,0,0,0,16,6,1,8,10.3,277,0,0,0,79,25,3.2,3,3,5,34,0,1795,27,22,1,3,22,118.4,2,1,1,3,3,3,148,3,9,1,1,3
7,0,69,0,0,0,0,0,0,9,3,3,11,5,232,2,0,2,41,10,4.1,2,1,6,60,0,1357,46,31,1,5,34,65.3,0,0,0,1,1,6,254,5,15,1,3,4
23,1,70,0,0,0,0,0,0,17,9,2,10,5.6,307,2,0,2,89,22,4,3,2,6,55,0,1991,55,34,1,1,10,67,1,3,3,2,2,2,108,7,14,1,2,0
12,0,76,0,0,0,0,0,0,6,2,2,10,4.2,137,1,0,1,29,11,2.6,1,1,6,37,0,1250,33,22,0,2,16,60.3,1,2,2,0,0,6,316,3,12,0,0,1
16,1,76,0,0,0,0,0,0,13,7,3,7,6.5,265,0,0,0,105,25,4.2,3,2,9,55,0,1846,41,28,2,1,8,101.4,0,1,1,1,1,3,117,8,15,2,3,2
10,0,79,0,0,0,0,0,0,5,3,0,13,6.2,161,3,1,4,57,19,3,0,0,6,60,0,1375,26,16,1,4,21,49,0,1,1,1,1,5,254,4,11,0,1,3
19,0,55,1,2,1,1,3,0,6,10,2,13,5.6,192,2,0,2,160,34,4.7,2,1,13,119,0,1983,34,18,0,2,18,43,1,4,5,1,1,4,218,3,13,1,1,4
22,0,60,0,0,0,0,0,0,18,3,3,9,8.4,378,1,0,1,74,21,3.5,2,0,5,35,0,2096,45,35,2,0,0,107.2,0,3,4,1,2,1,42,8,13,0,0,5
31,0,73,0,0,0,0,0,0,17,10,2,10,8.8,283,0,1,1,134,27,5,5,4,1,15,0,1883,32,28,3,3,17,132.6,1,1,2,4,4,3,140,3,8,0,0,-1
3,0,62,0,0,0,0,0,0,7,2,3,10,10.8,171,2,2,4,59,17,3.5,2,0,5,39,0,1609,28,20,3,2,9,140.9,1,2,2,4,4,3,141,4,12,1,2,1
14,0,63,0,0,0,0,0,0,14,7,1,10,5.5,246,1,1,2,66,18,3.7,4,2,3,19,0,1749,45,29,1,4,25,74.4,1,0,0,2,2,3,144,7,14,1,3,-1
13,1,43,0,0,0,0,0,0,6,8,0,10,6.7,180,1,1,2,88,21,4.2,1,0,5,39,1,1470,27,18,0,6,48,62.6,0,2,3,1,1,5,231,3,11,0,1,2
19,0,53,0,0,0,0,0,0,19,2,2,9,6.5,314,0,0,0,46,18,2.6,4,2,7,47,0,1899,48,28,1,3,27,82.6,1,2,2,1,1,3,152,8,15,1,2,3
16,1,59,0,0,0,0,0,0,11,4,2,12,8.7,269,2,0,2,70,20,3.5,1,0,5,39,0,1845,31,22,2,4,15,90,0,1,1,1,1,6,311,2,11,0,1,4
29,1,75,0,0,0,0,0,0,11,11,0,10,5.4,211,2,0,2,234,30,7.8,3,2,4,28,0,2051,39,26,1,3,9,66.4,2,3,3,2,2,2,112,7,16,3,4,5
33,0,57,0,0,0,0,0,0,14,4,5,12,7.2,252,0,0,0,102,26,3.9,6,3,6,67,0,1874,35,23,2,2,11,104.6,1,4,4,3,3,3,130,4,11,1,1,6
10,0,51,0,0,0,0,0,0,6,5,1,9,6,169,2,0,2,62,14,4.4,2,1,5,40,0,1307,28,17,1,1,6,59.1,0,1,1,1,1,3,156,3,9,0,1,7
21,1,53,0,0,0,0,0,0,11,7,1,9,6.8,163,1,0,1,109,36,3,3,3,2,8,0,1860,24,17,2,2,14,97.4,1,0,0,1,2,2,96,9,15,3,4,-1
21,0,58,0,1,0,1,1,1,10,7,3,10,5.7,194,2,0,2,136,28,4.9,5,2,1,5,0,1819,34,21,2,0,0,72.4,0,2,3,1,1,1,42,7,13,0,1,1
31,0,70,0,0,0,0,0,0,16,11,1,10,6.7,273,0,1,1,182,29,6.3,4,3,2,15,0,1668,41,25,1,2,13,87.4,3,1,1,4,4,2,108,6,12,1,3,-1
30,1,74,0,0,0,0,0,0,17,8,2,9,8.8,334,0,0,0,92,40,2.3,3,3,7,53,0,2363,38,24,0,0,0,91.3,3,3,5,3,3,1,45,11,17,1,1,2
27,0,60,0,0,0,0,0,0,17,3,3,12,6.2,361,0,0,0,44,14,3.1,2,2,13,82,0,1772,58,34,2,3,27,86.4,1,2,3,3,3,5,246,10,19,0,1,-1
3,0,67,0,0,0,0,0,0,9,7,1,12,6,203,2,1,3,112,29,3.9,1,0,6,45,0,2160,34,27,0,11,67,58.8,0,1,1,0,0,5,268,6,16,2,4,-2
17,0,56,0,0,0,0,0,0,10,3,2,11,5.3,185,1,0,1,46,15,3.1,2,2,5,43,0,1559,35,24,2,3,17,86.4,0,1,1,2,2,6,274,3,11,0,0,-3
10,1,55,0,0,0,0,0,0,7,6,2,11,4.4,150,0,0,0,127,25,5.1,1,0,7,59,0,1768,34,20,0,4,28,66.1,1,1,2,1,1,5,240,5,15,0,3,-4
20,0,50,0,0,0,0,0,0,10,9,4,12,8,257,2,1,3,155,40,3.9,4,2,9,92,0,2200,32,16,1,3,27,58.1,1,2,2,2,2,3,142,6,15,0,1,1
37,0,74,0,0,0,0,0,0,11,16,2,12,6.8,225,0,2,2,298,41,7.3,6,3,3,11,0,2404,33,26,1,1,8,104.2,3,3,3,4,4,2,113,6,13,1,2,-1
26,0,51,0,1,0,1,1,1,13,3,0,11,7.1,312,0,1,1,68,14,4.9,1,1,6,39,0,1773,44,29,3,3,24,107,0,2,2,2,3,5,227,7,15,1,1,-2
17,1,72,0,0,0,0,0,0,9,6,5,11,6.1,190,1,0,1,82,27,3,4,2,9,92,0,1674,31,17,1,1,5,70,1,1,1,2,2,5,263,2,9,0,1,1
31,1,43,0,0,0,0,0,0,10,12,1,12,6.7,209,1,0,1,169,33,5.1,4,3,3,20,0,2130,31,21,1,1,1,83.8,3,1,1,4,4,5,199,5,11,0,0,-1
41,0,61,0,0,0,0,0,0,19,8,6,11,7.3,299,0,0,0,136,34,4,8,4,9,127,0,2187,41,29,3,4,24,113.4,1,4,4,3,3,0,0,8,14,1,2,1
28,1,59,0,0,0,0,0,0,12,7,0,12,13.6,368,1,1,2,173,23,7.5,2,2,5,30,0,1755,27,19,2,3,14,122.1,2,0,0,4,4,5,246,6,11,0,0,2
17,0,46,0,1,0,1,1,1,9,13,1,10,4.6,143,2,0,2,178,38,4.7,3,2,5,40,0,1978,31,17,0,0,0,40.1,2,1,1,2,2,5,248,9,16,1,1,3
17,0,66,0,0,0,0,0,0,10,10,3,8,6.1,164,0,0,0,162,31,5.2,3,2,10,97,0,2031,27,19,1,6,39,92.4,1,1,1,2,2,3,117,6,12,1,1,4
30,0,51,0,1,0,1,1,1,11,14,0,10,11.4,274,0,0,0,202,46,4.4,7,3,2,10,0,2253,24,18,0,1,8,110.8,3,3,3,3,3,1,46,6,13,2,3,-1
20,1,48,0,0,0,0,0,0,11,13,0,9,8.7,262,0,0,0,206,38,5.4,3,1,5,27,0,2163,30,22,1,1,2,110.4,1,2,4,2,2,3,152,5,13,2,2,-2
